"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/24/2022","AQS","490352005","1","0.5","ppm","6","Copper View","14","58.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/25/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/26/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/27/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/28/2022","AQS","490352005","1","0","ppm","0","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/29/2022","AQS","490352005","1","0","ppm","0","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/30/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/31/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/01/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/02/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/03/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/04/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/05/2022","AQS","490352005","1","0","ppm","0","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/06/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/07/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/08/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/09/2022","AQS","490352005","1","0","ppm","0","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/10/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/11/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/12/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/13/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/14/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/15/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/16/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/17/2022","AQS","490352005","1","0.2","ppm","2","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/18/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/19/2022","AQS","490352005","1","0.1","ppm","1","Copper View","24","100.0000","42101","Carbon monoxide","093","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
